TEMPRATURE,SEQ
17.69,0
17.66,1
17.69,2
17.69,3
17.66,4
17.56,5
17.46,6
17.38,7
17.345,8
17.345,9
17.31,10
17.28,11
17.345,12
17.38,13
17.42,14
17.5,15
17.53,16
17.595,17
17.63,18
17.69,19
17.69,20
17.56,21
17.595,22
17.63,23
17.69,24
17.56,25
17.48,26
17.38,27
17.38,28
17.31,29
17.28,30
17.31,31
17.28,32
17.345,33
17.47,34
17.56,35
17.53,36
17.65,37
17.63,38
17.69,39
17.69,40
17.607,41
17.56,42
17.47,43
17.44,44
17.41,45
17.47,46
17.52,47
17.44,48
17.5,49
17.47,50
17.44,51
17.44,52
17.47,53
17.53,54
17.5,55
17.44,56
17.47,57
17.44,58
17.47,59
17.44,60
17.47,61
17.5,62
17.53,63
17.5,64
17.44,65
17.44,66
17.41,67
17.44,68
17.5,69
17.56,70
17.595,71
17.63,72
17.5,73
17.5,74
17.5,75
17.47,76
17.5,77
17.47,78
17.44,79
17.48,80
17.44,81
17.44,82
17.47,83
17.44,84
17.44,85
17.47,86
17.5,87
17.5,88
17.47,89
17.48,90
17.44,91
17.44,92
17.53,93
17.56,94
17.52,95
17.44,96
17.41,97
17.44,98
17.47,99
17.47,100
17.47,101
17.44,102
17.44,103
17.38,104
17.44,105
17.47,106
17.5,107
17.5,108
17.5,109
17.5,110
17.56,111
17.56,112
17.53,113
17.5,114
17.53,115
17.47,116
17.47,117
17.47,118
17.47,119
17.41,120
17.42,121
17.47,122
17.5,123
17.5,124
17.5,125
17.5,126
17.56,127
17.56,128
17.53,129
17.47,130
17.44,131
17.53,132
17.56,133
17.56,134
17.56,135
17.52,136
17.53,137
17.53,138
17.53,139
17.5,140
17.53,141
17.53,142
17.56,143
17.583,144
17.53,145
17.5,146
17.5,147
17.48,148
17.5,149
17.47,150
17.5,151
17.5,152
17.44,153
17.52,154
17.53,155
17.53,156
17.53,157
17.5,158
17.48,159
17.47,160
17.5,161
17.44,162
17.56,163
17.53,164
17.47,165
17.5,166
17.5,167
17.5,168
17.46,169
17.5,170
17.56,171
17.53,172
17.5,173
17.52,174
17.66,175
17.75,176
17.69,177
17.73,178
17.69,179
17.81,180
17.72,181
17.75,182
17.75,183
17.79,184
17.72,185
17.815,186
17.81,187
17.75,188
17.78,189
17.72,190
17.67,191
17.66,192
17.66,193
17.625,194
17.69,195
17.69,196
17.63,197
17.63,198
17.63,199
17.63,200
17.69,201
17.69,202
17.67,203
17.75,204
17.69,205
17.66,206
17.583,207
17.56,208
17.56,209
17.595,210
17.63,211
17.63,212
17.63,213
17.56,214
17.595,215
17.67,216
17.66,217
17.565,218
17.56,219
17.53,220
17.583,221
17.63,222
17.69,223
17.69,224
17.66,225
17.69,226
17.63,227
17.69,228
17.69,229
17.71,230
17.72,231
17.63,232
17.63,233
17.69,234
17.66,235
17.667,236
17.72,237
17.72,238
17.69,239
17.69,240
17.69,241
17.72,242
17.75,243
17.69,244
17.66,245
17.69,246
17.66,247
17.69,248
17.72,249
17.66,250
17.71,251
17.75,252
17.69,253
17.66,254
17.63,255
17.69,256
17.66,257
17.63,258
17.69,259
17.72,260
17.69,261
17.69,262
17.72,263
17.72,264
17.75,265
17.69,266
17.63,267
17.595,268
17.595,269
17.607,270
17.69,271
17.66,272
17.595,273
17.56,274
17.56,275
17.66,276
17.66,277
17.66,278
17.69,279
17.67,280
17.69,281
17.75,282
17.75,283
17.72,284
17.78,285
17.833,286
17.72,287
17.69,288
17.595,289
17.56,290
17.595,291
17.595,292
17.63,293
17.595,294
17.56,295
17.56,296
17.53,297
17.53,298
17.56,299
17.583,300
17.72,301
17.63,302
17.66,303
17.53,304
17.56,305
17.63,306
17.66,307
17.63,308
17.56,309
17.583,310
17.53,311
17.56,312
17.66,313
17.75,314
17.845,315
17.845,316
17.88,317
17.88,318
17.875,319
17.91,320
17.9,321
17.815,322
17.81,323
17.815,324
17.65,325
17.63,326
17.63,327
17.69,328
17.595,329
17.5,330
17.46,331
17.5,332
17.47,333
17.53,334
17.563,335
17.56,336
17.63,337
17.66,338
17.69,339
17.69,340
17.69,341
17.72,342
17.75,343
17.75,344
17.78,345
17.88,346
17.88,347
17.88,348
17.78,349
17.75,350
17.66,351
17.53,352
17.56,353
17.5,354
17.5,355
17.5,356
17.44,357
17.53,358
17.56,359
17.63,360
17.69,361
17.75,362
17.78,363
17.81,364
17.81,365
17.78,366
17.78,367
17.78,368
17.81,369
17.845,370
17.88,371
17.88,372
17.845,373
17.75,374
17.72,375
17.77,376
17.75,377
17.69,378
17.69,379
17.69,380
17.65,381
17.69,382
17.66,383
17.595,384
17.56,385
17.56,386
17.53,387
17.41,388
17.25,389
17.31,390
17.25,391
17.31,392
17.345,393
17.44,394
17.375,395
17.41,396
17.38,397
17.44,398
17.53,399
17.66,400
17.72,401
17.845,402
17.88,403
18.065,404
18.25,405
18.38,406
18.25,407
18.03,408
17.875,409
17.845,410
17.71,411
17.66,412
17.69,413
17.69,414
17.595,415
17.5,416
17.38,417
17.38,418
17.38,419
17.345,420
17.357,421
17.345,422
17.41,423
17.41,424
17.41,425
17.357,426
17.22,427
17.22,428
17.31,429
17.375,430
17.47,431
17.625,432
17.75,433
17.845,434
17.97,435
18.15,436
18.28,437
18.25,438
18.16,439
17.917,440
17.75,441
17.81,442
17.78,443
17.66,444
17.71,445
17.625,446
17.53,447
17.53,448
17.53,449
17.47,450
17.44,451
17.31,452
17.25,453
17.19,454
17.19,455
17.13,456
17.19,457
17.22,458
17.23,459
17.22,460
17.19,461
17.22,462
17.16,463
17.19,464
17.31,465
17.47,466
17.595,467
17.815,468
17.97,469
18.03,470
18.095,471
18.22,472
18.28,473
18.095,474
17.97,475
17.78,476
17.69,477
17.627,478
17.56,479
17.53,480
17.5,481
17.5,482
17.52,483
17.44,484
17.47,485
17.5,486
17.667,487
17.845,488
17.97,489
18.03,490
18.06,491
18.03,492
18,493
17.845,494
17.75,495
17.72,496
17.63,497
17.54,498
17.5,499
17.53,500
17.44,501
17.38,502
17.375,503
17.44,504
17.56,505
17.56,506
17.69,507
17.69,508
17.78,509
17.81,510
17.81,511
17.845,512
17.877,513
17.91,514
17.845,515
17.78,516
17.88,517
17.91,518
17.91,519
17.845,520
17.845,521
17.75,522
17.69,523
17.73,524
17.66,525
17.63,526
17.56,527
17.63,528
17.66,529
17.69,530
17.72,531
17.69,532
17.69,533
17.67,534
17.595,535
17.63,536
17.56,537
17.54,538
17.47,539
17.44,540
17.44,541
17.56,542
17.56,543
17.5,544
17.44,545
17.44,546
17.41,547
17.38,548
17.41,549
17.41,550
17.44,551
17.44,552
17.5,553
17.5,554
17.56,555
17.53,556
17.47,557
17.44,558
17.47,559
17.54,560
17.5,561
17.5,562
17.5,563
17.48,564
17.5,565
17.44,566
17.5,567
17.5,568
17.5,569
17.595,570
17.5,571
17.53,572
17.56,573
17.53,574
17.56,575
17.53,576
17.5,577
17.53,578
17.47,579
17.47,580
17.53,581
17.56,582
17.56,583
17.5,584
17.44,585
17.47,586
17.47,587
17.5,588
17.48,589
17.5,590
17.44,591
17.44,592
17.44,593
17.48,594
17.44,595
17.44,596
17.47,597
17.53,598
17.47,599
17.5,600
17.53,601
17.66,602
17.66,603
17.54,604
17.53,605
17.53,606
17.53,607
17.66,608
17.69,609
17.65,610
17.5,611
17.56,612
17.53,613
17.5,614
17.44,615
17.56,616
17.5,617
17.53,618
17.47,619
17.53,620
17.56,621
17.595,622
17.56,623
17.595,624
17.56,625
17.63,626
17.63,627
17.595,628
17.53,629
17.56,630
17.53,631
17.595,632
17.56,633
17.595,634
17.595,635
17.5,636
17.5,637
17.595,638
17.66,639
17.63,640
17.56,641
17.595,642
17.66,643
17.53,644
17.53,645
17.53,646
17.53,647
17.63,648
17.583,649
17.72,650
17.72,651
17.72,652
17.72,653
17.69,654
17.69,655
17.69,656
17.75,657
17.81,658
17.71,659
17.69,660
17.67,661
17.69,662
17.69,663
17.69,664
17.72,665
17.71,666
17.69,667
17.72,668
17.81,669
17.81,670
17.78,671
17.69,672
17.69,673
17.69,674
17.72,675
17.69,676
17.66,677
17.56,678
17.63,679
17.595,680
17.66,681
17.69,682
17.72,683
17.69,684
17.63,685
17.72,686
17.69,687
17.75,688
17.69,689
17.63,690
17.63,691
17.63,692
17.63,693
17.71,694
17.75,695
17.69,696
17.69,697
17.75,698
17.72,699
17.63,700
17.66,701
17.73,702
17.69,703
17.66,704
17.66,705
17.66,706
17.66,707
17.63,708
17.595,709
17.63,710
17.595,711
17.595,712
17.69,713
17.69,714
17.627,715
17.56,716
17.66,717
17.56,718
17.69,719
17.65,720
17.595,721
17.69,722
17.69,723
17.67,724
17.72,725
17.69,726
17.69,727
17.72,728
17.69,729
17.66,730
17.69,731
17.69,732
17.66,733
17.69,734
17.72,735
17.69,736
17.69,737
17.66,738
17.63,739
17.72,740
17.71,741
17.66,742
17.69,743
17.66,744
17.75,745
17.66,746
17.69,747
17.793,748
17.845,749
17.72,750
17.625,751
17.595,752
17.607,753
17.69,754
17.595,755
17.5,756
17.56,757
17.5,758
17.5,759
17.4,760
17.25,761
17.345,762
17.345,763
17.345,764
17.31,765
17.28,766
17.31,767
17.345,768
17.333,769
17.47,770
17.595,771
17.63,772
17.66,773
17.75,774
17.77,775
17.845,776
17.81,777
17.78,778
17.75,779
17.81,780
17.78,781
17.81,782
17.91,783
17.875,784
17.845,785
17.69,786
17.67,787
17.63,788
17.56,789
17.595,790
17.53,791
17.52,792
17.44,793
17.44,794
17.47,795
17.53,796
17.4,797
17.38,798
17.5,799
17.72,800
17.815,801
18,802
17.75,803
17.78,804
17.71,805
17.63,806
17.75,807
17.72,808
17.72,809
17.69,810
17.595,811
17.66,812
17.63,813
17.66,814
17.72,815
17.67,816
17.63,817
17.66,818
17.63,819
17.63,820
17.69,821
17.56,822
17.595,823
17.69,824
17.66,825
17.73,826
17.72,827
17.66,828
17.595,829
17.66,830
17.66,831
17.69,832
17.66,833
17.565,834
17.5,835
17.56,836
17.56,837
17.69,838
17.63,839
17.595,840
17.607,841
17.56,842
17.595,843
17.66,844
17.66,845
17.625,846
17.69,847
17.69,848
17.56,849
17.607,850
17.69,851
17.69,852
17.72,853
17.72,854
17.81,855
17.72,856
17.69,857
17.595,858
17.72,859
17.69,860
17.595,861
17.595,862
17.63,863
17.56,864
17.595,865
17.53,866
17.53,867
17.53,868
17.595,869
17.595,870
17.54,871
17.595,872
17.595,873
17.595,874
17.46,875
17.5,876
17.5,877
17.56,878
17.5,879
17.53,880
17.47,881
17.5,882
17.56,883
17.5,884
17.52,885
17.53,886
17.44,887
17.41,888
17.41,889
17.345,890
17.38,891
17.41,892
17.46,893
17.5,894
17.44,895
17.5,896
17.5,897
17.44,898
17.44,899
17.44,900
17.44,901
17.48,902
17.38,903
17.38,904
17.44,905
17.5,906
17.46,907
17.47,908
17.44,909
17.41,910
17.44,911
17.41,912
17.4,913
17.47,914
17.47,915
17.41,916
17.5,917
